[16:30:18] Connected to Project Fire for Business Intelligence Report...


==================================================
EXECUTIVE KPI DASHBOARD
==================================================
    Total Orders Placed     : 791
    Unique Active Buyers    : 20
    Total Units Sold        : 2931
    Total Gross Revenue     : ₹396,061.17
    Overall Avg Order Value : ₹251.15
==================================================

TOP 5 CUSTOMERS BY LIFETIME SPEND (LTV)
-------------------------------------------------------
Customer Name        | Orders  | Total Spend  | AOV       
-------------------------------------------------------
Riya Kapoor          | 46      | ₹14,004.57  | ₹304.45  
Kavya Nair           | 39      | ₹11,591.64  | ₹297.22  
Rahul Deshmukh       | 45      | ₹9,923.45   | ₹220.52  
Karan Mehta          | 48      | ₹9,402.35   | ₹195.88  
Divya Rao            | 39      | ₹9,315.06   | ₹238.85  
-------------------------------------------------------

PRODUCT PERFORMANCE SUMMARY
-------------------------------------------------------
Product ID | Stock  | Units Sold | Gross Revenue
-------------------------------------------------------
4          | 17     | 63         | ₹19,115.69   
61         | 17     | 23         | ₹7,147.80    
30         | 9      | 25         | ₹6,500.00    
75         | 1      | 34         | ₹6,120.00    
89         | 5      | 34         | ₹5,239.08    
92         | 11     | 21         | ₹4,620.00    
29         | 13     | 25         | ₹4,434.48    
24         | 25     | 25         | ₹4,412.91    
55         | 20     | 45         | ₹4,359.02    
25         | 6      | 34         | ₹4,282.65    
68         | 10     | 45         | ₹4,031.84    
8          | 3      | 47         | ₹3,921.60    
91         | 23     | 22         | ₹3,323.31    
98         | 8      | 29         | ₹3,190.00    
35         | 12     | 38         | ₹2,546.21    
13         | 14     | 36         | ₹2,541.10    
86         | 23     | 37         | ₹2,495.38    
67         | 32     | 12         | ₹2,418.21    
14         | 13     | 20         | ₹2,400.00    
84         | 4      | 36         | ₹2,384.64    
51         | 2      | 38         | ₹2,322.00    
56         | 47     | 13         | ₹2,289.93    
90         | 29     | 20         | ₹2,187.18    
52         | 4      | 27         | ₹2,160.00    
44         | 9      | 29         | ₹2,114.10    
58         | 48     | 22         | ₹2,040.39    
57         | 43     | 37         | ₹2,039.72    
23         | 47     | 21         | ₹2,013.34    
62         | 38     | 27         | ₹1,995.14    
88         | 50     | 40         | ₹1,952.30    
12         | 6      | 39         | ₹1,788.96    
95         | 36     | 34         | ₹1,756.60    
93         | 24     | 26         | ₹1,648.59    
20         | 25     | 20         | ₹1,521.44    
54         | 22     | 28         | ₹1,510.22    
15         | 25     | 25         | ₹1,481.61    
39         | 37     | 22         | ₹1,460.13    
5          | 29     | 28         | ₹1,426.78    
21         | 53     | 27         | ₹1,423.51    
22         | 33     | 27         | ₹1,413.92    
99         | 32     | 25         | ₹1,366.04    
19         | 35     | 15         | ₹1,365.55    
63         | 19     | 28         | ₹1,296.83    
10         | 26     | 44         | ₹1,267.65    
70         | 27     | 33         | ₹1,255.92    
66         | 52     | 26         | ₹1,203.23    
80         | 6      | 49         | ₹1,195.98    
97         | 58     | 12         | ₹1,183.79    
87         | 44     | 36         | ₹1,153.90    
100        | 49     | 26         | ₹1,122.87    
69         | 43     | 27         | ₹1,101.07    
41         | 59     | 31         | ₹1,087.24    
96         | 47     | 38         | ₹967.58      
37         | 54     | 31         | ₹938.44      
85         | 20     | 23         | ₹935.45      
94         | 30     | 30         | ₹923.47      
74         | 22     | 28         | ₹897.98      
50         | 20     | 37         | ₹866.07      
3          | 56     | 24         | ₹851.97      
6          | 31     | 44         | ₹849.30      
46         | 125    | 25         | ₹844.45      
43         | 71     | 29         | ₹834.08      
53         | 32     | 28         | ₹818.90      
49         | 42     | 28         | ₹817.89      
64         | 53     | 33         | ₹809.13      
60         | 69     | 31         | ₹791.55      
9          | 59     | 31         | ₹688.94      
11         | 41     | 19         | ₹676.07      
73         | 76     | 34         | ₹653.53      
17         | 87     | 33         | ₹637.89      
47         | 66     | 32         | ₹623.39      
40         | 67     | 33         | ₹621.83      
81         | 28     | 32         | ₹621.37      
65         | 40     | 48         | ₹608.04      
18         | 61     | 29         | ₹603.86      
83         | 22     | 5          | ₹600.00      
16         | 77     | 33         | ₹598.70      
36         | 89     | 21         | ₹595.54      
48         | 47     | 32         | ₹502.71      
28         | 50     | 30         | ₹482.03      
78         | 35     | 30         | ₹480.62      
2          | 64     | 35         | ₹458.51      
34         | 62     | 28         | ₹439.91      
27         | 73     | 26         | ₹437.82      
38         | 99     | 31         | ₹415.98      
72         | 92     | 28         | ₹413.07      
1          | 94     | 24         | ₹358.94      
82         | 29     | 21         | ₹331.48      
33         | 108    | 41         | ₹329.15      
71         | 76     | 14         | ₹325.66      
32         | 132    | 28         | ₹315.51      
42         | 125    | 15         | ₹302.08      
76         | 41     | 19         | ₹299.76      
26         | 168    | 32         | ₹289.27      
59         | 131    | 18         | ₹285.61      
45         | 78     | 39         | ₹284.76      
31         | 153    | 27         | ₹281.76      
77         | 33     | 34         | ₹269.68      
79         | 50     | 27         | ₹175.78      
7          | 130    | 20         | ₹175.75      
-------------------------------------------------------
